"filename", "language", "Shell Script", "CSS", "JavaScript", "Elixir", "HEEx", "Ignore", "Markdown", "JSON", "XML", "HTML", "Database", "CSV", "Docker", "comment", "blank", "total"
"/Users/chris/playground/oas/lib/oas_web/views/member_registration_view.ex", "Elixir", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/chris/playground/oas/lib/oas_web/views/member_reset_password_view.ex", "Elixir", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/chris/playground/oas/lib/oas_web/views/member_session_view.ex", "Elixir", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/chris/playground/oas/lib/oas_web/views/member_settings_view.ex", "Elixir", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/chris/playground/oas/lib/oas_web/views/page_view.ex", "Elixir", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/chris/playground/oas/mix.exs", "Elixir", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 6, 83
"/Users/chris/playground/oas/oas-web-public/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 33, 71
"/Users/chris/playground/oas/oas-web-public/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 30156, 0, 0, 0, 0, 0, 0, 1, 30157
"/Users/chris/playground/oas/oas-web-public/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 1, 46
"/Users/chris/playground/oas/oas-web-public/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 23, 1, 44
"/Users/chris/playground/oas/oas-web-public/public/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/chris/playground/oas/oas-web-public/src/App/App.css", "CSS", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 57
"/Users/chris/playground/oas/oas-web-public/src/App/App.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 37
"/Users/chris/playground/oas/oas-web-public/src/App/App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/chris/playground/oas/oas-web-public/src/App/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/chris/playground/oas/oas-web-public/src/Home/Home.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/chris/playground/oas/oas-web-public/src/Members/Info.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/chris/playground/oas/oas-web-public/src/Members/MembershipForm.js", "JavaScript", 0, 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21, 245
"/Users/chris/playground/oas/oas-web-public/src/Members/MembershipSuccess.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/chris/playground/oas/oas-web-public/src/index.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
